publishedAt,authorDisplayName,textDisplay,likeCount
2024-06-07T02:34:13Z,@pakboss3508,@@mamasiah lha itu husen kadrun.....juga diundang.....menurut lambe nggedabrusnya seharusnya mati sangit kenapa mlh pulang??<br>kl cerdas....konsumsilah berita yg berimbang.agar jgn termakan hoaks....,0
2024-06-07T07:01:18Z,@ProBimoGamerz4,​@@pakboss3508 kasian oten diludahi yahudi,0
2024-06-07T07:10:48Z,@pakboss3508,@@ProBimoGamerz4 menghibur dirikah??yg ngeludahi juga dah dipenjara.....gmn dengan muslim dibantai sampai ke akar2nya.....lebih hina lagi kan....babi saja gak sampai dibantai lo...,0
2024-06-06T23:59:48Z,@khalim2631,"Ternyata teori Darwin masi berlaku, fakta kalau manusia ga jauh beda dari hewan itu bener adanya. Kalau di lihat dari mereka yg mementingkan koloni ras mereka, tanpa peduli ras lain. Itu dah kayak hewan... <br><br>Rencananya Tuhan itu paradoks, kita di kasih bumi buat hidup &amp; berbena diri untuk memantaskan diri untuk dapat surga, tapi kita disini di buat berkonflik &amp; saling berebutan buat hidup doank. <br><br>Dan yg ga bisa bertahan akan jadi mangsa... <br><br>Apa kita ga bisa hidup biasa-biasa aja, tanpa menggangu atau terlibat dengan kepentingan orang lain.",0
2024-06-06T23:48:21Z,@user-us4du7yd4q,"Buka rekening dong om ded , kami masyarakat kecil mau nyumbang tapi tidak tau mau nyumbang kemana",0
2024-06-06T23:47:24Z,@user-us4du7yd4q,Free palestine,0
2024-06-06T23:34:53Z,@fauzanrmdhn12,Panjang umur perjuangan❤,0
2024-06-06T23:07:57Z,@rokhmahwidiastuti9405,Nyampe nangis dengernya😢.semoga sehat selalu ustadz husein,0
2024-06-06T20:53:25Z,@ariehanggara6245,yaa mukollibal qulub. . 🤲🇵🇸,0
2024-06-06T19:39:48Z,@KajianCerdas,Assalaamu&#39;alaikum coba negara2 islam menekan rusia cina korut untuk menekan USA jatuhkan Jobaiden yg wampir dan netanyahu,0
2024-06-06T19:21:02Z,@yohanes2559,Agak aneh ya negara&quot; arab itu emang gak kompak semua org juga udah tau tapi yg di salahin amerika dong,0
2024-06-06T19:08:48Z,@Islamic_channel1465,Tunggu saja janji Allah SWT tetap terjadi di surah Ibrahim ayat 42,0
2024-06-06T19:08:29Z,@rossa4794,Waktu di gaza ngomongnya akan berjuang sampai titik darah penghabisan pdhl belum apa² udah lari pulang ke Indo ... <br>Masih percaya omongan org ini ??? 😂😂,1
2024-06-06T20:23:45Z,@kosongtenan,😂,1
