conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,",created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url"
1.7745763326615596e+18,Sun Mar 31 23:15:42 +0000 2024,0.0,Relawan Prabowo Gibran ditangkap karena korupsi @prabowo @gibran_tweet @DokterTifa @Nicho_Silalahi https://t.co/D5Wy07CBfF,1.7745763326615596e+18,,,in,jl H Kamang Pd Labu Jakarta Se,0.0,0.0,0.0,https://x.com/Martinluth91/status/1774576332661559436,1.4747766637202227e+18,Martinluth91,
1.7736165472373967e+18,Sun Mar 31 23:15:34 +0000 2024,0.0,@OposisiCerdas lha masuk akal gak sih...pengerahan dukungan ke Anies?...emang Anies punya kuasa apa? wkwkwkwk,1.7745762998663089e+18,,OposisiCerdas,in,,0.0,0.0,0.0,https://x.com/musamaulana6/status/1774576299866308989,1.0861999892802273e+18,musamaulana6,
1.7743372183222766e+18,Sun Mar 31 23:13:51 +0000 2024,0.0,@Dyananjani89 Emang pendukung anies tolol semua,1.7745758679829425e+18,,Dyananjani89,in,,0.0,0.0,0.0,https://x.com/DannyAd79107637/status/1774575867982942496,1.4975895204555817e+18,DannyAd79107637,
1.7745719136267348e+18,Sun Mar 31 23:13:47 +0000 2024,0.0,jangan kaget disuatu hari yg tenang di IKN tiba tiba pak Anies terbang pake jubah item matanya warna ungu trus tereak tereak; Itami o kanjiro Itami o kangaero Itami o uketore Itami o shire Koko yori.... sekai ni itami o..... SHINRA TENSEI!!! ,1.7745758519607706e+18,,punya_nduuy,in,AD,0.0,1.0,0.0,https://x.com/punya_nduuy/status/1774575851960770634,1.2365574205134643e+18,punya_nduuy,
1.774575611991999e+18,Sun Mar 31 23:12:50 +0000 2024,0.0,Hallo bagaimana UGM?? @GejayanCalling @bemkm_ugm @bemui @bemuin @BEMUNY @kpp_bemuin @BEMUndip_ @itbofficial https://t.co/cBVuUAWcrU,1.774575611991999e+18,,,in,jl H Kamang Pd Labu Jakarta Se,0.0,0.0,0.0,https://x.com/Martinluth91/status/1774575611991998928,1.4747766637202227e+18,Martinluth91,
1.7745748205394166e+18,Sun Mar 31 23:09:41 +0000 2024,2.0,hijab Dehilma udah topi semua. tp harga ny emg ‍️ .. do'a in emak biar bisa beli dua ‍️️ KPU anies sahur sidang MK trilyun moeis harvey sandra dewi gempa Aghnia paloh psikopat dajjal singgih BMKG gaza israel puasa https://t.co/yy2StNE5GD,1.7745748205394166e+18,https://pbs.twimg.com/media/GKCOYNobMAAIuFD.jpg,,in,,0.0,0.0,1.0,https://x.com/NurilHiLma2022/status/1774574820539416582,1.317084070468178e+18,NurilHiLma2022,
1.7732781715482627e+18,Sun Mar 31 23:05:32 +0000 2024,0.0,@OposisiCerdas Rakyat tenang kok km aja yg ribut sendiri. Pak Anies juga g bikin ribut kalian kok. Makanya loh itu introspeksi diri karena salah jadi bingung sendiri kan,1.774573776602346e+18,,OposisiCerdas,in,,0.0,0.0,0.0,https://x.com/Kasihtiara81/status/1774573776602345868,1.4791021424387318e+18,Kasihtiara81,
1.7744392530802243e+18,Sun Mar 31 23:02:52 +0000 2024,0.0,@sekkmak @gaijinn13 yang dateng ntar anies.,1.774573103596868e+18,,LatteLS_,in,"Lampung, Indonesia",0.0,1.0,0.0,https://x.com/wanatabe_woowon/status/1774573103596867984,1.565658408966955e+18,wanatabe_woowon,
1.7744062868322386e+18,Sun Mar 31 23:01:34 +0000 2024,1.0,@Zer0Failed Kenapa ya tiap liat orang2 yg ngedukung pak Anies itu wajahnya adem2 tenang santun... Jadi seneng nggak pernah bosen dan bangga di barisan bersama abah...,1.7745727778336814e+18,,zer0failed,in,Jogjakarta,0.0,0.0,0.0,https://x.com/Bagus_Danoe/status/1774572777833681366,561974997.0,Bagus_Danoe,
1.7745719136267348e+18,Sun Mar 31 23:01:21 +0000 2024,0.0,ini requirement villain arcnya pak Anies udah fulfilled nih ,1.7745727226534095e+18,,punya_nduuy,in,AD,0.0,1.0,0.0,https://x.com/punya_nduuy/status/1774572722653409627,1.2365574205134643e+18,punya_nduuy,
1.7745703017850104e+18,Sun Mar 31 22:51:44 +0000 2024,0.0,orang yang bawa kereta itu namanya apa? Mas Anies ya?,1.7745703017850104e+18,,,in,,0.0,0.0,0.0,https://x.com/guevara_bima/status/1774570301785010435,1.470447103130235e+18,guevara_bima,
1.7744782537781824e+18,Sun Mar 31 22:50:33 +0000 2024,0.0,@kekpler Selangkanganku merah merah ini pasti Salah anies,1.7745700034651832e+18,,kekpler,in,unlabeled,0.0,1.0,0.0,https://x.com/fukutomism/status/1774570003465183245,1.3423131932138947e+18,fukutomism,
1.7742497811179894e+18,Sun Mar 31 22:50:27 +0000 2024,1.0,@irwanka5 Orang selanjutnya yang akan di doakan pak Anies adalah anda,1.774569977640862e+18,,irwanka5,in,,0.0,0.0,0.0,https://x.com/anditya770508/status/1774569977640861871,1.6472787154521539e+18,anditya770508,
1.7743771582927836e+18,Sun Mar 31 22:49:03 +0000 2024,0.0,@QianzyZ Masasih kerahkan para pendukung Anies diseantero dunia ngga bisa temukan orang ini.,1.7745696278778022e+18,,QianzyZ,in,"Jakarta Capital Region, Indone",0.0,0.0,0.0,https://x.com/hermanpanca07/status/1774569627877802319,3568946420.0,hermanpanca07,
1.7743771582927836e+18,Sun Mar 31 22:47:07 +0000 2024,0.0,@QianzyZ Memang anies ini tidak tahu malu,1.7745691417076168e+18,,QianzyZ,in,,0.0,0.0,0.0,https://x.com/Arjo96Kang/status/1774569141707616648,1.561399352660095e+18,Arjo96Kang,
1.7745691313812357e+18,Sun Mar 31 22:47:05 +0000 2024,2.0,Sengketa Pilpres MK Hari Ini Periksa Saksi dan Ahli Kubu Anies-Muhaimin https://t.co/nZORaBSZe2,1.7745691313812357e+18,,,in,,0.0,0.0,0.0,https://x.com/VIVAcoid/status/1774569131381235787,41730943.0,VIVAcoid,
1.7742497811179894e+18,Sun Mar 31 22:46:18 +0000 2024,0.0,@irwanka5 Amin. Semoga terkabul pengen bgt didoa in pak anies.,1.7745689327181297e+18,,irwanka5,in,Indonesia,0.0,0.0,0.0,https://x.com/FarahD_awidi/status/1774568932718129587,9.861758944472433e+17,FarahD_awidi,
1.7744287832794936e+18,Sun Mar 31 22:45:44 +0000 2024,0.0,@dewa_ganteng2 @nafi_mohammad @realfedinuril Pendukung fanatik Anies jg banyak kok.,1.774568790849905e+18,,dewa_ganteng2,in,,0.0,0.0,0.0,https://x.com/Agas08Jun/status/1774568790849904886,1.6045062244597965e+18,Agas08Jun,
1.774568360111395e+18,Sun Mar 31 22:44:01 +0000 2024,0.0,Hari Ini Hakim MK Dengarkan Pembuktian Saksi dan Ahli dari Kubu Anies-Muhaimin dan Ganjar-Mahfud https://t.co/1VJSyOBkXR https://t.co/1VJSyOBkXR,1.774568360111395e+18,,,in,indonesia,0.0,0.0,0.0,https://x.com/posaktualcom/status/1774568360111395183,1.6366277296753377e+18,posaktualcom,
1.7744354170075384e+18,Sun Mar 31 22:43:40 +0000 2024,2.0,@psi_id Ayo cari mainan baru buat lolos ke Senayan 2029 nanti. Terbukti nebeng nama besar pak Anies sudah gagal,1.7745682731931036e+18,,psi_id,in,"Denpasar Selatan, Indonesia",0.0,0.0,0.0,https://x.com/mekarsatria11/status/1774568273193103616,113849880.0,mekarsatria11,
1.7745480868971315e+18,Sun Mar 31 22:42:58 +0000 2024,0.0,@nurainiazis Kirim salam buat babeh kmren babeh nya dukung pak anies ga? ,1.7745680971036262e+18,,nurainiazis,in,,0.0,1.0,0.0,https://x.com/abdulgofar3012/status/1774568097103626346,1.4667944191646188e+18,abdulgofar3012,
1.774531287044514e+18,Sun Mar 31 22:40:54 +0000 2024,3.0,@IrmansyahAdhy Hrg seorang Anies hrs ngeluarin cuan ratusan ribu trilyun pakAniesKeren,1.774567575298646e+18,,IrmansyahAdhy,in,,0.0,0.0,1.0,https://x.com/GusZaen3/status/1774567575298646127,1.5100449999954452e+18,GusZaen3,
