reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ef9d2f69-e8ed-4066-9638-eaf7e986e4f6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantap,5,0,,2024-06-08 06:02:02,,,
d2c5b126-6524-427f-ad27-6bcb13f06ecb,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi yg sangat menghibur,5,0,34.8.4,2024-06-08 06:01:27,,,34.8.4
deebcd23-e1cd-49ee-bd34-575d2a41d0a5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantap Bosku,3,0,35.0.4,2024-06-08 06:01:17,,,35.0.4
d67cfeff-74a2-40db-a5d0-144b083cdf5c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bagus aplikasi ny cm abis di upddate knp berubah ya,5,0,35.0.4,2024-06-08 06:00:04,,,35.0.4
a506e904-1952-457d-87ed-fb805d3b9e16,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Idk,4,0,35.0.4,2024-06-08 05:59:37,,,35.0.4
8b9d230d-ebb6-4698-a03e-7f60bdb4f40c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Update terus gilakkkk, capek gw",1,0,,2024-06-08 05:58:42,,,
61ac336a-7e52-4b87-9afe-1b43473d7d6c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tidak ada fitur foto,1,0,35.0.4,2024-06-08 05:57:42,,,35.0.4
53660de9-ec89-4f34-a968-8f400e7959e7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tik tok aplikasi ter the best,5,0,,2024-06-08 05:57:38,,,
9b96d6ed-c376-424f-b436-28ec82a6c7c7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gilak viewer ku biasanya 600 keatas sekarang dibuat 0 padahal ada yg like dibuat 0 semua sangat wow, padahal ini akun affiliate udah lama ada hasil juga. pelanggaran pun udah aku turutin udah kuhapus dan suara diganti kalo bisa diganti tapi hasil nihil dibuat 0 terus TERIMA KASIH TIK TOK MEMPERKAYA YG CENTANG BIRU 🤤",1,0,,2024-06-08 05:57:15,,,
32a1c7c8-bdb6-4629-acdf-dd7c368fcb12,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Lemot,1,0,,2024-06-08 05:57:03,,,
